step,time,mode,throughput,mean_speed,avg_ttc,crit_events
9000,900.1,Custom_Framework,608,10.577362823486204,1.0,0
9100,910.1,Custom_Framework,611,10.840490363280677,1.0,0
9200,920.1,Custom_Framework,622,10.893366839476718,1.0,0
9300,930.1,Custom_Framework,636,10.679147883987506,1.0,0
9400,940.1,Custom_Framework,649,10.737026009160354,1.0,0
9500,950.1,Custom_Framework,659,10.829497405607144,1.0,0
9600,960.1,Custom_Framework,672,11.019290643242138,1.0,0
9700,970.1,Custom_Framework,685,11.032723395569725,1.0,0
9800,980.1,Custom_Framework,695,11.1109145777263,1.0,0
9900,990.1,Custom_Framework,710,10.965058902310489,1.0,0
10000,1000.1,Custom_Framework,718,11.062453404741856,1.0,0
10100,1010.1,Custom_Framework,731,11.275833390854304,1.0,0
10200,1020.1,Custom_Framework,746,11.021493556320292,1.0,0
10300,1030.1,Custom_Framework,760,10.943024813050478,1.0,0
10400,1040.1,Custom_Framework,766,11.000016458799625,1.0,0
10500,1050.1,Custom_Framework,768,11.316954554486909,1.0,0
10600,1060.1,Custom_Framework,768,11.449128474422553,1.0,0
10700,1070.1,Custom_Framework,773,11.505743791042015,1.0,0
10800,1080.1,Custom_Framework,786,11.6380832198895,1.0,0
10900,1090.1,Custom_Framework,799,11.645117336890694,1.0,0
11000,1100.1,Custom_Framework,812,11.801556014609279,1.0,0
11100,1110.1,Custom_Framework,826,11.9746063694234,1.0,0
11200,1120.1,Custom_Framework,838,11.79788341130817,1.0,0
11300,1130.1,Custom_Framework,851,11.405138650021692,1.0,0
11400,1140.1,Custom_Framework,862,10.986125262596152,1.0,0
11500,1150.1,Custom_Framework,873,10.532337020554591,1.0,0
11600,1160.1,Custom_Framework,883,10.245166714590678,1.0,0
11700,1170.1,Custom_Framework,893,10.046829443409353,1.0,0
11800,1180.1,Custom_Framework,905,9.928533428576591,1.0,0
11900,1190.1,Custom_Framework,921,9.701572294398959,1.0,0
12000,1200.1,Custom_Framework,934,9.444068773700135,1.0,0
12100,1210.1,Custom_Framework,946,9.033253808049468,1.0,0
12200,1220.1,Custom_Framework,954,8.925797284737497,1.0,0
12300,1230.1,Custom_Framework,962,8.641981520121952,1.0,0
12400,1240.1,Custom_Framework,971,8.487850064040742,1.0,0
12500,1250.1,Custom_Framework,987,7.831097765647224,1.0,0
12600,1260.1,Custom_Framework,998,7.5502559221326155,1.0,0
12700,1270.1,Custom_Framework,1004,7.39078644907901,1.0,0
12800,1280.1,Custom_Framework,1010,7.0880280720153,1.0,0
12900,1290.1,Custom_Framework,1017,7.231810690893329,1.0,0
13000,1300.1,Custom_Framework,1026,6.922114854423521,1.0,0
13100,1310.1,Custom_Framework,1030,6.848271276725703,1.0,0
13200,1320.1,Custom_Framework,1030,7.067355696171413,1.0,0
13300,1330.1,Custom_Framework,1030,7.156401030174951,1.0,0
13400,1340.1,Custom_Framework,1030,7.162006883997903,1.0,0
13500,1350.1,Custom_Framework,1030,7.4702465099860085,1.0,0
13600,1360.1,Custom_Framework,1034,7.549511072692241,1.0,0
13700,1370.1,Custom_Framework,1040,7.536770883625531,1.0,0
13800,1380.1,Custom_Framework,1048,7.573445534584548,1.0,0
13900,1390.1,Custom_Framework,1054,7.724482394720026,1.0,0
14000,1400.1,Custom_Framework,1061,7.717416808449186,1.0,0
14100,1410.1,Custom_Framework,1072,7.4446770074414745,1.0,0
14200,1420.1,Custom_Framework,1084,7.192440806253598,1.0,0
14300,1430.1,Custom_Framework,1091,7.077823855398479,1.0,0
14400,1440.1,Custom_Framework,1098,7.057951755743448,1.0,0
14500,1450.1,Custom_Framework,1103,7.214095216397914,1.0,0
14600,1460.1,Custom_Framework,1111,7.603460131771655,1.0,0
14700,1470.1,Custom_Framework,1117,7.87037359894572,1.0,0
14800,1480.1,Custom_Framework,1123,8.083681193660503,1.0,0
14900,1490.1,Custom_Framework,1135,7.7053022656971315,1.0,0
15000,1500.1,Custom_Framework,1135,8.31732055438433,1.0,0
15100,1510.1,Custom_Framework,1135,8.867372804680919,1.0,0
15200,1520.1,Custom_Framework,1141,9.151224857353881,1.0,0
15300,1530.1,Custom_Framework,1151,9.369946763129763,1.0,0
15400,1540.1,Custom_Framework,1156,9.460164852369248,1.0,0
15500,1550.1,Custom_Framework,1164,9.937767064108016,1.0,0
15600,1560.1,Custom_Framework,1174,9.996008811835717,1.0,0
15700,1570.1,Custom_Framework,1185,9.977372976225524,1.0,0
15800,1580.1,Custom_Framework,1197,10.160694657949014,1.0,0
15900,1590.1,Custom_Framework,1210,10.206672421375782,1.0,0
16000,1600.1,Custom_Framework,1221,10.254037030836475,1.0,0
16100,1610.1,Custom_Framework,1233,10.607622064198457,1.0,0
16200,1620.1,Custom_Framework,1241,11.031147232120336,1.0,0
16300,1630.1,Custom_Framework,1254,11.303591039262514,1.0,0
16400,1640.1,Custom_Framework,1267,11.504408286254124,1.0,0
16500,1650.1,Custom_Framework,1280,11.622434716458816,1.0,0
16600,1660.1,Custom_Framework,1292,11.792105050854099,1.0,0
16700,1670.1,Custom_Framework,1305,11.946376605851322,1.0,0
16800,1680.1,Custom_Framework,1318,12.08885835772476,1.0,0
16900,1690.1,Custom_Framework,1331,12.423714318182851,1.0,0
17000,1700.1,Custom_Framework,1345,12.420310072739875,1.0,0
17100,1710.1,Custom_Framework,1357,12.46134029432006,1.0,0
17200,1720.1,Custom_Framework,1368,12.604729782274793,1.0,0
17300,1730.1,Custom_Framework,1382,12.617388489846697,1.0,0
17400,1740.1,Custom_Framework,1394,12.686318414114918,1.0,0
17500,1750.1,Custom_Framework,1405,12.94890105159286,1.0,0
17600,1760.1,Custom_Framework,1420,13.034552956622404,1.0,0
17700,1770.1,Custom_Framework,1432,13.207791529117147,1.0,0
17800,1780.1,Custom_Framework,1446,13.295977490963814,1.0,0
17900,1790.1,Custom_Framework,1459,13.274132347202213,1.0,0
18000,1800.1,Custom_Framework,1473,12.980707540087227,1.0,0
