step,time,mode,throughput,mean_speed,avg_ttc,critical_ttc_events
0,0.1,No_Control,0,30.13677266666667,1.0,0
3000,300.1,No_Control,182,21.812338857269022,0.9963418390024786,1
6000,600.1,No_Control,575,17.54450512016335,0.9972462724089086,1
9000,900.1,No_Control,970,14.834619965876062,0.9949975833141562,5
12000,1200.1,No_Control,1374,12.335356175993802,0.9976337197336159,2
15000,1500.1,No_Control,1772,11.494170128478382,0.9997123244170123,1
18000,1800.1,No_Control,2172,10.512860941262355,0.9984980039133611,1
